PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos
228052,OMG my neighbor just got engaged and HAD to show us all her ring. She went on and on about how he payed so much for it. It is the biggest fake diamond I have ever seen! It's a 3ct equivalent. I found it online for $85!,omg neighbor engaged show ring payed biggest fake diamond ct equivalent found online ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,2,4,8
89378,I LOVE shopping at Walmart!,love shopping walmart ,1,today didn told wanted made,0.8,P+,0,AGREEMENT,25,8,22
89379,"Went out last night & got a little drunk... But I didn't cheat, I didn't get nasty, didn't cause problems & didn't drink & drive. I just basically make a fool of myself, but that's ok, right??",night drunk didn cheat didn nasty didn problems didn drink drive basically make fool ,1,today didn told wanted made,0.35,P,0.5,DISAGREEMENT,30,6,0
97159,"I just ordered my first ""toy"" online. I can't wait to try it.",ordered toy online wait ,1,today didn told wanted made,-0.8,N+,0,AGREEMENT,2,18,24
260297,DW tried on a dress today. I cried because she looked so beautiful.,dw dress today cried looked beautiful ,1,today didn told wanted made,0,NEU,0.6,DISAGREEMENT,2,18,24
244766,I cleaned one room today. That should be enough to justify getting my nails done and buying myself stuff.,cleaned room today justify nails buying stuff ,1,today didn told wanted made,0.6,P,0,AGREEMENT,2,18,24
88024,My birthday starts in 5 minutes and I'm frantically trying to figure out how to turn off FB text message alerts from my phone.,birthday starts minutes frantically figure turn fb text message alerts phone ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,1,34,5
231609,I hate my dad today! No matter how many therapeutic letters I write to him I still wish he would die!,hate dad today matter therapeutic letters write die ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,5,0,2
119863,"Was not expecting that, BEST DH ON THE FACE OF THE EARTH!! He sent me to Walgreens, I was pissy until I saw my new G550!!!!! I love my new SUV, and DH of 13 years!! Merry Christmas all!!",expecting dh face earth walgreens pissy love suv dh years merry christmas ,1,today didn told wanted made,0,NEU,0.71,DISAGREEMENT,0,13,0
176063,"Right now, I'm glad a penis is not something a guy can forget when he comes over. Getting it on tonight. Yes!",glad penis guy forget tonight ,1,today didn told wanted made,0.6,P,0,AGREEMENT,3,3,16
176068,"I keep my secrets inside. And when I post here and get more hugs than likes, and I know they are snarky hugs, it reminds me why I can't ever let anyone know the real me.",secrets inside post hugs likes snarky hugs reminds real ,1,today didn told wanted made,0.8,P+,0,AGREEMENT,3,1,0
46862,"my dh and i are fighting again, i lost all control and wanted to hit him. i didn't but i wanted to. the only reason i didn't is i know he would hit me back.",dh fighting lost control wanted hit didn wanted reason didn hit back ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,6,0,40
163502,"Want soooo badly to tell his wife-haha, yep we did date & fuck relentlessly, in college. Oh & ur hubby has another daughter he's hiding from u. But I have a soul & that info will never get past this anonymous confession.",soooo badly wife haha yep date fuck relentlessly college ur hubby daughter hiding soul info past anonymous confession ,1,today didn told wanted made,-0.7,N+,0.1,AGREEMENT,0,12,0
290486,Watching pitch perfect and Jesse always turns me on. Oh. My. Gosh. I wish I could have my way with him!!!,watching pitch perfect jesse turns gosh ,1,today didn told wanted made,0.7,P+,0.1,AGREEMENT,0,12,0
27612,My best friend passed away on Monday and my DS 1st bday today and im having trouble balancing my emotions,friend passed monday ds st bday today im trouble balancing emotions ,1,today didn told wanted made,N,N,N,N,25,5,0
174681,hahahahahaha.... you worked out today? uh-huh.. so that means you took an extra lap around the coffee table before you sat your fat ass down. STOP LYING TO YOURSELF!,hahahahahaha worked today uh huh means extra lap coffee table sat fat ass stop lying ,1,today didn told wanted made,-0.3,N,0.6,DISAGREEMENT,15,0,7
