Keywords,Frequency
dh,30943
kids,28533
feel,21156
time,20528
love,19390
husband,17176
hate,17135
day,16246
work,12490
today,11606
life,11364
sex,11113
dd,11106
mom,10533
people,10332
ds,10330
back,9742
home,9734
good,9704
baby,9659
make,9581
night,9060
bad,8649
house,8538
fucking,8433
years,8350
fuck,7998
year,7901
shit,7683
son,7593
makes,6573
family,6440
told,6403
ll,6340
bed,6319
friends,6230
days,6071
ass,6032
kid,6029
stop,5979
sleep,5930
job,5827
sick,5606
married,5587
friend,5504
happy,5427
care,5400
tired,5398
week,5372
man,5366
child,5285
school,5190
leave,5171
put,5140
things,5114
bitch,4966
give,4932
mother,4930
pregnant,4757
hard,4756
thing,4701
money,4634
daughter,4558
made,4524
won,4487
damn,4202
months,4197
thought,4177
hope,4105
find,4053
children,4039
mommy,4002
long,4000
bf,3965
eat,3948
great,3872
miss,3814
tonight,3717
ago,3686
anymore,3672
morning,3624
wanted,3585
sad,3558
left,3484
hell,3404
clean,3400
god,3367
wrong,3343
month,3333
fat,3317
found,3308
single,3282
dont,3244
wtf,3206
stupid,3142
wait,3130
hours,3125
talk,3110
watch,3101
dad,3057
food,3039
haven,3034
person,3032
nice,3022
big,3017
girl,3011
stay,3010
face,3005
live,2987
weeks,2980
mil,2928
times,2919
feeling,2913
scared,2903
hot,2889
guy,2865
crazy,2863
women,2828
finally,2821
thinking,2816
parents,2815
making,2806
wife,2796
call,2773
dinner,2771
marriage,2718
lol,2709
lost,2707
pretty,2700
taking,2691
room,2686
start,2680
weight,2651
fb,2639
woman,2635
stand,2631
head,2544
isn,2535
tomorrow,2527
watching,2516
guess,2513
hubby,2513
yr,2506
car,2492
working,2487
pay,2485
thinks,2474
hair,2458
totally,2414
asshole,2367
gonna,2360
heart,2359
play,2348
wouldn,2348
lot,2310
end,2297
break,2295
bc,2289
cry,2277
real,2275
started,2237
buy,2223
yo,2199
world,2197
phone,2196
weekend,2191
men,2185
dog,2184
asked,2178
lazy,2174
lose,2152
guilty,2151
hurt,2150
read,2123
afraid,2114
ugh,2105
yrs,2102
fun,2091
sucks,2080
sahm,2077
sister,2063
spend,2063
eating,2050
tv,2046
father,2043
stuff,2032
gave,2026
reason,2026
crap,2003
called,1999
glad,1996
wasn,1992
full,1989
mine,1971
hear,1956
horrible,1952
idea,1945
christmas,1934
change,1895
deal,1893
crying,1862
ready,1857
hour,1855
divorce,1853
shower,1831
broke,1824
understand,1823
amazing,1822
knew,1819
awesome,1814
move,1808
drink,1808
run,1796
mind,1795
omg,1787
coming,1786
yesterday,1774
felt,1770
talking,1764
minutes,1755
part,1733
suck,1730
pissed,1724
turn,1724
confessions,1724
half,1722
couldn,1721
living,1718
body,1714
asleep,1696
kind,1687
quit,1685
clothes,1678
bathroom,1673
feels,1667
wanna,1662
secretly,1657
girls,1653
die,1644
mad,1632
pain,1630
high,1617
spent,1614
sil,1614
fml,1609
sit,1607
telling,1587
afford,1586
perfect,1573
wine,1573
reading,1573
moms,1548
nap,1541
jealous,1537
lbs,1535
door,1529
sleeping,1528
place,1526
show,1525
cleaning,1522
relationship,1514
loves,1511
sitting,1507
dear,1500
late,1497
post,1493
bought,1489
period,1486
pick,1483
starting,1478
sm,1470
facebook,1456
kill,1455
laundry,1449
huge,1446
boy,1442
excited,1442
bff,1439
babies,1420
works,1418
happen,1416
giving,1410
drive,1401
birthday,1398
shut,1394
couch,1377
hurts,1376
remember,1376
free,1374
mo,1371
ate,1370
early,1367
dirty,1362
playing,1361
past,1358
wake,1358
hit,1357
support,1353
front,1352
leaving,1343
affair,1342
selfish,1341
store,1340
parent,1338
enjoy,1337
realize,1335
supposed,1329
completely,1314
drunk,1309
worse,1307
porn,1306
poor,1304
depressed,1300
control,1294
everyday,1294
turned,1292
wear,1288
deserve,1286
walk,1286
party,1282
scary,1279
beautiful,1276
rest,1274
boyfriend,1266
super,1265
grow,1254
sexy,1247
dream,1244
waiting,1243
realized,1234
freaking,1224
drinking,1218
cuz,1216
worst,1216
cut,1210
lunch,1206
pregnancy,1203
matter,1195
fight,1192
worth,1190
step,1185
screaming,1180
loved,1177
bit,1177
brother,1175
yeah,1169
takes,1165
point,1164
lives,1158
pants,1158
mouth,1155
boys,1151
sweet,1142
fact,1142
check,1139
longer,1137
young,1136
bills,1136
close,1135
cheating,1135
birth,1131
stuck,1129
constantly,1128
couple,1120
attention,1120
boss,1118
met,1116
means,1116
normal,1114
mess,1109
town,1104
annoying,1103
problem,1100
angry,1097
inside,1095
floor,1087
aren,1087
judge,1086
funny,1081
gross,1070
worry,1069
cute,1068
fucked,1065
pee,1062
driving,1062
happened,1060
died,1059
woke,1059
ur,1059
needed,1057
coffee,1055
college,1051
terrible,1049
hand,1048
throw,1046
dick,1043
bring,1040
toilet,1039
act,1036
smell,1029
swear,1025
lonely,1023
worked,1021
toddler,1012
scream,1010
listen,1008
older,1005
husbands,1004
decided,1003
poop,994
born,992
figure,992
cheated,989
fall,987
shopping,985
small,982
ugly,982
running,982
looked,979
healthy,977
fine,974
terrified,970
eyes,970
punch,969
fail,968
vacation,964
weird,963
handle,963
st,961
side,960
smoke,958
confess,958
